CCD_timestamp(epoch);CCD_pos(x);y; z;CCD_quat(q_w);q_x;q_y;q_z;Monitor_timestamp(epoch);Monitor_pos_(x);y;z;Monitor_quat(q_w);q_x;q_y;q_z;Image_seq;Image_framestamp(epoch)
1620302791.1670069695;-0.2477598325;-1.6511604120;1.7814616539;0.7158232768;-0.0151852416;0.0086598518;0.6980626417;1620302791.1583518982;-0.0773311653;5.5743291523;2.2733374186;0.7082259961;-0.0134628193;0.0023174523;-0.7058536111;8;1620302791.107265126
1620302791.1838231087;-0.2476411952;-1.6513710896;1.7815159109;0.7158508921;-0.0146378529;0.0094841527;0.6980353031;1620302791.1670351028;-0.0773755219;5.5743720853;2.2738818281;0.7081036552;-0.0136057829;0.0024246492;-0.7059732412;9;1620302791.133236526
1620302791.1914949417;-0.2475921387;-1.6514601274;1.7815056048;0.7158567153;-0.0145083566;0.0098677785;0.6980267170;1620302791.1838490963;-0.0775869730;5.5744014251;2.2749836915;0.7084338401;-0.0132398349;0.0017568374;-0.7056508446;9;1620302791.133236526
1620302791.1997320652;-0.2475666372;-1.6515483768;1.7814809918;0.7158147175;-0.0143955005;0.0102159785;0.6980671125;1620302791.1915218830;-0.0777192562;5.5743579922;2.2754332784;0.7084017607;-0.0133994453;0.0019752586;-0.7056794589;9;1620302791.133236526
1620302791.2168240547;-0.2476003565;-1.6516332503;1.7814511573;0.7158188730;-0.0142680078;0.0104164945;0.6980625056;1620302791.1997599602;-0.0777496287;5.5743522252;2.2759799855;0.7083004828;-0.0132807074;0.0021768463;-0.7057827642;9;1620302791.133236526
1620302791.2243819237;-0.2475905666;-1.6517131032;1.7814308134;0.7158130491;-0.0143855052;0.0105571340;0.6980639533;1620302791.2168529034;-0.0780423492;5.5742853301;2.2769075184;0.7084936212;-0.0133589234;0.0019466393;-0.7055880799;10;1620302791.185179206
1620302791.2331480980;-0.2475142461;-1.6518510717;1.7811719402;0.7159053553;-0.0151158011;0.0109194375;0.6979482794;1620302791.2244091034;-0.0780787907;5.5742539609;2.2774016527;0.7083094046;-0.0133973572;0.0019628201;-0.7057722334;10;1620302791.185179206
1620302791.2418129444;-0.2473501886;-1.6519875008;1.7808717708;0.7161411050;-0.0159890870;0.0113283753;0.6976803959;1620302791.2331779003;-0.0781728890;5.5742069059;2.2778392474;0.7082258488;-0.0135518280;0.0021140090;-0.7058526943;10;1620302791.185179206
1620302791.2500588894;-0.2474448777;-1.6519695579;1.7808930150;0.7159999431;-0.0160306505;0.0111275407;0.6978275414;1620302791.2418410778;-0.0783044923;5.5741719122;2.2783213003;0.7082873567;-0.0133274996;0.0019939985;-0.7057955951;11;1620302791.211150582
1620302791.2578690052;-0.2474155853;-1.6520123988;1.7806842770;0.7160907835;-0.0166710572;0.0112541562;0.6977172849;1620302791.2500870228;-0.0784482002;5.5741122622;2.2787699634;0.7082960764;-0.0134102765;0.0020468340;-0.7057851253;11;1620302791.211150582
1620302791.2742390633;-0.2474156663;-1.6521527686;1.7803937026;0.7160973979;-0.0178536169;0.0110940788;0.6976838012;1620302791.2578959465;-0.0785373569;5.5740621282;2.2792464350;0.7082345166;-0.0134702952;0.0021135857;-0.7058455592;11;1620302791.211150582
1620302791.2829298973;-0.2473664698;-1.6522084292;1.7802638667;0.7161991777;-0.0184611385;0.0109209544;0.6975662384;1620302791.2742669582;-0.0786557172;5.5739970010;2.2801734119;0.7082598144;-0.0136381342;0.0022264838;-0.7058166047;11;1620302791.211150582
1620302791.2924129963;-0.2473287728;-1.6522684416;1.7801329430;0.7162248820;-0.0189547191;0.0108145350;0.6975282668;1620302791.2829580307;-0.0787630495;5.5739188751;2.2806256250;0.7083541537;-0.0136189720;0.0020765738;-0.7057227531;12;1620302791.237121966
1620302791.3002369404;-0.2473620056;-1.6523383472;1.7800555710;0.7161689146;-0.0192333151;0.0106811818;0.6975801586;1620302791.2924520969;-0.0788890705;5.5738439769;2.2810589849;0.7082932525;-0.0137969172;0.0022478891;-0.7057798953;12;1620302791.237121966
1620302791.3169739246;-0.2472224142;-1.6524654975;1.7799786647;0.7164057926;-0.0193701168;0.0103059397;0.6973387459;1620302791.3002650738;-0.0789807090;5.5737882829;2.2815406558;0.7082602798;-0.0138209724;0.0022958476;-0.7058123589;12;1620302791.237121966
1620302791.3258619308;-0.2470964108;-1.6526174073;1.7798325226;0.7165743576;-0.0197030138;0.0103178079;0.6971560257;1620302791.3169999123;-0.0791692286;5.5736786470;2.2824094500;0.7083508126;-0.0138403841;0.0021439012;-0.7057215979;13;1620302791.289064614
1620302791.3341989517;-0.2471152749;-1.6526472457;1.7799985275;0.7164773981;-0.0192323825;0.0098667490;0.6972753407;1620302791.3258900642;-0.0792377157;5.5736240099;2.2828533878;0.7082508112;-0.0141350409;0.0022706492;-0.7058157219;13;1620302791.289064614
1620302791.3417770863;-0.2470799993;-1.6527195803;1.7800529148;0.7165108083;-0.0188723155;0.0096647235;0.6972536772;1620302791.3342249393;-0.0793724978;5.5735568473;2.2833003164;0.7084486444;-0.0141109798;0.0021723436;-0.7056179415;13;1620302791.289064614
1620302791.3504209518;-0.2470640352;-1.6527759987;1.7801444193;0.7164583100;-0.0184513713;0.0094175456;0.6973222689;1620302791.3418109417;-0.0794756702;5.5734774682;2.2837213774;0.7083983904;-0.0140213906;0.0020391728;-0.7056705767;13;1620302791.289064614
1620302791.3665299416;-0.2469951669;-1.6528851765;1.7802881146;0.7165760595;-0.0176462125;0.0089835999;0.6972278373;1620302791.3504469395;-0.0796124083;5.5734020446;2.2841209287;0.7083369411;-0.0141857439;0.0022175241;-0.7057284359;14;1620302791.315036062
1620302791.3832519054;-0.2469412790;-1.6529408148;1.7804957853;0.7166817939;-0.0169003866;0.0085168391;0.6971434908;1620302791.3665568829;-0.0797103951;5.5732277574;2.2850229085;0.7081089173;-0.0143213930;0.0021447145;-0.7059547147;14;1620302791.315036062
1620302791.3911368847;-0.2468235608;-1.6530426994;1.7804177072;0.7167763808;-0.0171040772;0.0085557805;0.6970407944;1620302791.3832769394;-0.0798866418;5.5730877821;2.2858058759;0.7081191792;-0.0145666875;0.0022453397;-0.7059390896;15;1620302791.366978694
1620302791.3995149136;-0.2468852550;-1.6530310007;1.7805781943;0.7166502766;-0.0167912378;0.0082101799;0.6971822060;1620302791.3911640644;-0.0799957665;5.5729581237;2.2862293400;0.7080699297;-0.0145136703;0.0020991209;-0.7059900295;15;1620302791.366978694
1620302791.4165880680;-0.2469318776;-1.6530786283;1.7806644481;0.7164880449;-0.0167926542;0.0082335285;0.6973486197;1620302791.3995409012;-0.0801174211;5.5728624866;2.2866329830;0.7080917319;-0.0143756015;0.0020349569;-0.7059711752;15;1620302791.366978694
1620302791.4257340431;-0.2468662743;-1.6530788074;1.7806671398;0.7165289377;-0.0169809008;0.0082812204;0.6973014785;1620302791.4166150093;-0.0802763636;5.5726436838;2.2873974618;0.7079703043;-0.0145272625;0.0021627278;-0.7060894628;15;1620302791.366978694
1620302791.4336810112;-0.2468846730;-1.6530908804;1.7807098745;0.7165007787;-0.0170419777;0.0082957004;0.6973287506;1620302791.4257500172;-0.0803734313;5.5725223459;2.2878132602;0.7080117315;-0.0144442192;0.0021575944;-0.7060496423;16;1620302791.392950046
1620302791.4416799545;-0.2468608087;-1.6531140256;1.7807715937;0.7164415116;-0.0170798967;0.0082562479;0.6973891825;1620302791.4337110519;-0.0804994187;5.5723820167;2.2881767309;0.7080474683;-0.0143354728;0.0020953239;-0.7060162084;16;1620302791.392950046
1620302791.4506750107;-0.2468823115;-1.6531038032;1.7808829470;0.7163426710;-0.0169283261;0.0080964042;0.6974962779;1620302791.4417080879;-0.0806098874;5.5722436235;2.2885696401;0.7080603259;-0.0141631801;0.0021456334;-0.7060066398;16;1620302791.392950046
1620302791.4659938812;-0.2469258118;-1.6531363638;1.7810427092;0.7161595047;-0.0163681861;0.0082703083;0.6976956702;1620302791.4507040977;-0.0807094599;5.5720987771;2.2889851515;0.7079435109;-0.0141352203;0.0022982293;-0.7061238553;16;1620302791.392950046
1620302791.4746179581;-0.2469288885;-1.6531599316;1.7811229972;0.7161134676;-0.0160165158;0.0084879048;0.6977484706;1620302791.4660201073;-0.0808937466;5.5718457760;2.2897773764;0.7081240387;-0.0137328793;0.0022370745;-0.7059509540;17;1620302791.418921374
1620302791.4825019836;-0.2469050461;-1.6531771215;1.7812123562;0.7160898439;-0.0156661125;0.0086685063;0.6977784501;1620302791.4746470451;-0.0809954615;5.5717263970;2.2901491271;0.7081157564;-0.0138020053;0.0024981363;-0.7059570380;17;1620302791.418921374
1620302791.4924869537;-0.2468822154;-1.6531833980;1.7813156450;0.7160625728;-0.0152069172;0.0087970496;0.6978149851;1620302791.4825289249;-0.0810947566;5.5715332750;2.2905126350;0.7080769151;-0.0139297004;0.0025303935;-0.7059933730;17;1620302791.418921374
1620302791.4994540215;-0.2468553506;-1.6532009190;1.7814351664;0.7160642428;-0.0147308476;0.0088033126;0.6978234045;1620302791.4925150871;-0.0812148871;5.5713301559;2.2908664545;0.7081158924;-0.0137223698;0.0023604652;-0.7059589278;18;1620302791.470864150
1620302791.5160169601;-0.2467449869;-1.6533069063;1.7815129546;0.7161993057;-0.0141927309;0.0090098484;0.6976933019;1620302791.4994781017;-0.0813550544;5.5712304346;2.2912661163;0.7082418293;-0.0134633453;0.0024653223;-0.7058372134;18;1620302791.470864150
1620302791.5339450836;-0.2467470633;-1.6532722530;1.7817374193;0.7161021870;-0.0130205387;0.0094872949;0.6978095116;1620302791.5160429478;-0.0815007663;5.5708838791;2.2920013992;0.7081903784;-0.0137338288;0.0025898822;-0.7058831790;18;1620302791.470864150
1620302791.5417449474;-0.2467247190;-1.6532727480;1.7817278405;0.7161293227;-0.0129296969;0.0098335474;0.6977785590;1620302791.5339710712;-0.0816677561;5.5705939637;2.2926901100;0.7083291844;-0.0136716246;0.0024952626;-0.7057454406;19;1620302791.496835470
1620302791.5496699810;-0.2466322679;-1.6532707023;1.7816999977;0.7162866131;-0.0129500578;0.0101476074;0.6976122204;1620302791.5417709351;-0.0817108076;5.5704215611;2.2930694484;0.7081242378;-0.0136386933;0.0027779106;-0.7059506591;19;1620302791.496835470
1620302791.5666279793;-0.2466614719;-1.6532368912;1.7815701854;0.7162022465;-0.0136303154;0.0102838589;0.6976838818;1620302791.5496950150;-0.0818533224;5.5702096599;2.2934091155;0.7082360860;-0.0136679091;0.0027078645;-0.7058381558;19;1620302791.496835470
1620302791.5741150379;-0.2464375167;-1.6532482748;1.7813536476;0.7165074651;-0.0145448649;0.0104459958;0.6973495397;1620302791.5666549206;-0.0820170021;5.5698865228;2.2940729757;0.7082500409;-0.0137285002;0.0026808558;-0.7058230805;20;1620302791.522806854
1620302791.5833609104;-0.2465357684;-1.6531449874;1.7813406910;0.7163583161;-0.0147582200;0.0105251797;0.6974970814;1620302791.5741429329;-0.0820656457;5.5697130888;2.2944261948;0.7081392568;-0.0138905147;0.0027642833;-0.7059307369;20;1620302791.522806854
1620302791.5916080475;-0.2465044569;-1.6531152265;1.7811713206;0.7163544544;-0.0154418408;0.0106445901;0.6974844356;1620302791.5833890438;-0.0821634319;5.5695206040;2.2947576045;0.7082500118;-0.0139121245;0.0026041859;-0.7058198012;20;1620302791.522806854
1620302791.5998539925;-0.2463686475;-1.6531405149;1.7809311223;0.7165417189;-0.0164464798;0.0108048879;0.6972666153;1620302791.5916349888;-0.0822804448;5.5693175999;2.2950861329;0.7083888763;-0.0137576388;0.0025398540;-0.7056836944;20;1620302791.522806854
1620302791.6075088978;-0.2463338554;-1.6531034345;1.7807970408;0.7165021084;-0.0170659962;0.0108137212;0.6972922944;1620302791.5998830795;-0.0823534347;5.5691343019;2.2954050571;0.7083664841;-0.0138245384;0.0027256953;-0.7057041710;21;1620302791.574749566
1620302791.6245169640;-0.2463901883;-1.6529726355;1.7806735466;0.7163447995;-0.0178648149;0.0105468735;0.6974379829;1620302791.6075348854;-0.0824280494;5.5689304651;2.2957050192;0.7083642586;-0.0139077837;0.0027620092;-0.7057046280;21;1620302791.574749566
1620302791.6326611042;-0.2463221997;-1.6529852420;1.7805094239;0.7163720807;-0.0185525383;0.0105539955;0.6973918973;1620302791.6245419979;-0.0826237871;5.5685708959;2.2963495633;0.7088817620;-0.0142674950;0.0027714675;-0.7051775699;21;1620302791.574749566
1620302791.6408898830;-0.2464142478;-1.6528703350;1.7805945831;0.7162233606;-0.0184395154;0.0101461441;0.6975536809;1620302791.6326880455;-0.0826590699;5.5683864239;2.2966690551;0.7087777093;-0.0142828263;0.0028714216;-0.7052814436;22;1620302791.600720958
1620302791.6506440639;-0.2462835632;-1.6529052132;1.7804430440;0.7163642229;-0.0188663497;0.0101860799;0.6973970209;1620302791.6409180164;-0.0827041886;5.5681918890;2.2970136159;0.7087739663;-0.0142188783;0.0029560153;-0.7052861477;22;1620302791.600720958
1620302791.6577649117;-0.2462379851;-1.6528593943;1.7804338407;0.7164072787;-0.0187955231;0.0100345977;0.6973569002;1620302791.6506700516;-0.0827586957;5.5680321033;2.2973737547;0.7089270668;-0.0141042726;0.0030541437;-0.7051341402;22;1620302791.600720958
1620302791.6759860516;-0.2462389070;-1.6527199232;1.7806276994;0.7163865410;-0.0179666191;0.0094687703;0.6974079630;1620302791.6577761173;-0.0828916268;5.5678104539;2.2977142025;0.7087193346;-0.0136802817;0.0024253185;-0.7053537216;22;1620302791.600720958
1620302791.6840639114;-0.2462024987;-1.6526701799;1.7806954682;0.7164543096;-0.0176044847;0.0092819516;0.6973500912;1620302791.6760129929;-0.0829690847;5.5674301218;2.2982976944;0.7087398756;-0.0141448225;0.0021537843;-0.7053248004;23;1620302791.626692222
1620302791.6909060478;-0.2461444047;-1.6526167894;1.7807447971;0.7165032508;-0.0172867332;0.0090839215;0.6973103633;1620302791.6840820312;-0.0830683219;5.5672766101;2.2985803244;0.7088494432;-0.0141222786;0.0019847931;-0.7052156327;23;1620302791.626692222
1620302791.6999878883;-0.2461089061;-1.6525520107;1.7808402458;0.7165292866;-0.0169562853;0.0088287275;0.6972950017;1620302791.6909310818;-0.0830990269;5.5670811202;2.2988889013;0.7087597774;-0.0142369838;0.0021670575;-0.7053029066;23;1620302791.626692222
1620302791.7068390846;-0.2459762445;-1.6525498836;1.7807695964;0.7167247459;-0.0170607909;0.0087520932;0.6970925110;1620302791.7000150681;-0.0830848682;5.5668693589;2.2992063098;0.7089761229;-0.0143784209;0.0020124904;-0.7050830221;24;1620302791.678634910
1620302791.7240290642;-0.2460198081;-1.6523346263;1.7809091608;0.7167264879;-0.0168934929;0.0079145390;0.6971048067;1620302791.7068660259;-0.0831316713;5.5666964412;2.2995217287;0.7090937363;-0.0143577113;0.0017854327;-0.7049657733;24;1620302791.678634910
1620302791.7323350906;-0.2459873624;-1.6522561919;1.7809689975;0.7167675208;-0.0168693908;0.0076786848;0.6970658381;1620302791.7240560055;-0.0831635772;5.5662922356;2.3001376414;0.7086152055;-0.0149704922;0.0020509259;-0.7054333197;24;1620302791.678634910
1620302791.7407948971;-0.2459781024;-1.6521576853;1.7810191191;0.7167960486;-0.0167986281;0.0073668976;0.6970415767;1620302791.7323451042;-0.0832629124;5.5661675175;2.3004844739;0.7085740620;-0.0153801600;0.0025952055;-0.7054640418;24;1620302791.678634910
1620302791.7493579388;-0.2460588354;-1.6520637044;1.7810849288;0.7166959265;-0.0167052070;0.0071752924;0.6971487647;1620302791.7408208847;-0.0833848533;5.5660116432;2.3007573177;0.7084426796;-0.0152520036;0.0028754883;-0.7055976740;25;1620302791.704606342
1620302791.7656381130;-0.2459937601;-1.6518579258;1.7812510935;0.7167703733;-0.0164315950;0.0069349037;0.6970811587;1620302791.7493839264;-0.0834300185;5.5658241603;2.3010101632;0.7082893757;-0.0152157108;0.0027290897;-0.7057529274;25;1620302791.704606342
1620302791.7741649151;-0.2459986379;-1.6517641611;1.7813124335;0.7167204267;-0.0163555159;0.0068156063;0.6971354779;1620302791.7656650543;-0.0834835820;5.5654490746;2.3014968534;0.7082690365;-0.0157057533;0.0025258970;-0.7057633605;25;1620302791.704606342
1620302791.7818489075;-0.2460734501;-1.6516892097;1.7813459508;0.7165076270;-0.0162926770;0.0067861622;0.6973559473;1620302791.7741749287;-0.0835376602;5.5652773797;2.3017417516;0.7083439552;-0.0156510098;0.0020934181;-0.7056907996;26;1620302791.756549086
1620302791.7912580967;-0.2460924309;-1.6515871828;1.7814419165;0.7164020273;-0.0159622654;0.0067338708;0.6974725775;1620302791.7818589211;-0.0836805049;5.5650677118;2.3019729728;0.7084525404;-0.0155685418;0.0018827861;-0.7055842073;26;1620302791.756549086
1620302791.7994019985;-0.2460994627;-1.6515055283;1.7815312913;0.7163346418;-0.0155391376;0.0067366731;0.6975513124;1620302791.7912850380;-0.0837090547;5.5648452178;2.3022175990;0.7083750923;-0.0156732419;0.0019986079;-0.7056593255;26;1620302791.756549086
1620302791.8078908920;-0.2460618571;-1.6514149093;1.7816304790;0.7163334341;-0.0149492000;0.0068971994;0.6975638761;1620302791.7994420528;-0.0837578790;5.5646125825;2.3024755102;0.7084352843;-0.0156147579;0.0018559238;-0.7056005831;26;1620302791.756549086
1620302791.8237760067;-0.2460228389;-1.6512460045;1.7818028769;0.7161575206;-0.0135290955;0.0076138637;0.6977660054;1620302791.8079190254;-0.0838392302;5.5644111788;2.3026862988;0.7085101616;-0.0156227885;0.0016252616;-0.7055257883;27;1620302791.782520342
1620302791.8326740265;-0.2460152059;-1.6511394973;1.7818630689;0.7160684182;-0.0128926760;0.0080048419;0.6978651173;1620302791.8238019943;-0.0838468256;5.5639823716;2.3031690186;0.7083059473;-0.0158168821;0.0015966295;-0.7057265490;27;1620302791.782520342
1620302791.8413689137;-0.2460118217;-1.6510365208;1.7819177013;0.7159331550;-0.0123569006;0.0083352134;0.6980097053;1620302791.8327000141;-0.0839438686;5.5637403592;2.3034057334;0.7084195169;-0.0156717568;0.0014039041;-0.7056161939;27;1620302791.782520342
1620302791.8493719101;-0.2460108628;-1.6509514009;1.7819241988;0.7158252224;-0.0119931913;0.0086579408;0.6981228076;1620302791.8413810730;-0.0840226200;5.5634794740;2.3036132499;0.7084495589;-0.0155145031;0.0012192654;-0.7055898497;27;1620302791.782520342
1620302791.8659820557;-0.2459661723;-1.6507533053;1.7819047127;0.7156256472;-0.0118844163;0.0090435394;0.6983243574;1620302791.8493969440;-0.0840504207;5.5632347839;2.3038168979;0.7083091984;-0.0156265790;0.0013147981;-0.7057281069;28;1620302791.808491686
1620302791.8736879826;-0.2459514964;-1.6506387305;1.7818561825;0.7155722017;-0.0120812622;0.0092093071;0.6983735790;1620302791.8660099506;-0.0841182706;5.5627966878;2.3042664997;0.7083447269;-0.0157300240;0.0011317602;-0.7056904657;28;1620302791.808491686
1620302791.8826189041;-0.2459151073;-1.6505377561;1.7817822662;0.7156288934;-0.0122926830;0.0095145780;0.6983077042;1620302791.8737149239;-0.0841632808;5.5625548397;2.3044773646;0.7082774816;-0.0160078348;0.0012030196;-0.7057515930;28;1620302791.808491686
1620302791.8901629448;-0.2458486658;-1.6504547431;1.7816278355;0.7156632061;-0.0128300542;0.0098128345;0.6982587439;1620302791.8826439381;-0.0841893831;5.5623116952;2.3046721195;0.7082306942;-0.0161694221;0.0013396032;-0.7057946153;29;1620302791.860434430
1620302791.9069619179;-0.2459155116;-1.6501644157;1.7815521460;0.7155350525;-0.0135237948;0.0098648231;0.6983762459;1620302791.8901729584;-0.0841943780;5.5620776657;2.3048849708;0.7081443113;-0.0160335757;0.0013355451;-0.7058843922;29;1620302791.860434430
1620302791.9159889221;-0.2459557224;-1.6500683934;1.7814603524;0.7156052373;-0.0140800804;0.0099778163;0.6982917290;1620302791.9069890976;-0.0843068334;5.5615703179;2.3052804565;0.7081574769;-0.0161826548;0.0011467890;-0.7058681141;29;1620302791.860434430
1620302791.9247210026;-0.2459100827;-1.6499279715;1.7814220522;0.7154938399;-0.0149191480;0.0096589838;0.6983929324;1620302791.9160149097;-0.0843012109;5.5613438655;2.3054519464;0.7081012017;-0.0164556594;0.0012811773;-0.7059180250;29;1620302791.860434430
